,username,retweet_or_quote_screen_name,type
1804,FoxNews,1,OI
2048,OneHealthNews,1,OI
2072,TXSportsLife,1,OI
2097,BradleyKingTX,1,OI
2129,Newsweek,1,OI
2187,DallasBizNews,1,OI
2393,ChrisATX,1,OI
2527,GarrettSmithTX,1,OI
2661,abcnews,1,OI
2667,GrowingUpTX,1,OI
1162,KBTXDonnie,2,OI
2059,OCEARCH,1,OI
3275,FistofJusticeTX,1,OI
2031,PBS,1,OI
2454,TexasSph,1,OI
2434,TIME,1,OI
2387,ASU,1,OI
2350,EYPAE,1,OI
2346,UTSAPHP,1,OI
2339,SCOTTLADARIUS,1,OI
2323,CAH,1,OI
2306,ABC,1,OI
1381,TexasHDC,1,OI
2650,ESPNNFL,1,OI
1313,WGAESF,2,OI
324,TVMA,9,OI
2459,CSCAA,1,OI
564,AAIHS,4,OI
525,BCAMC,4,OI
506,BCBSTX,4,OI
499,MSCSCONA,5,OI
460,TexasLawyer,5,OI
427,NCAA,6,OI
395,NSF,6,OI
382,NPR,7,OI
378,WHO,7,OI
344,TAMESTX,8,OI
334,TexasDSHS,8,OI
329,JAYDENPEEVY,9,OI
325,TexasMonthly,9,OI
560,FAFSA,4,OI
2592,WIRED,1,OI
2679,EASPORTS,1,OI
2726,TexasHHSC,1,OI
1604,BET,1,OI
2043,HEB,1,OI
1603,KTBS,1,OI
1590,TRLA,1,OI
1546,KHOU,1,OI
1462,CBSDFW,1,OI
2193,LLIS,1,OI
2201,USPS,1,OI
1371,AACSB,1,OI
44,PVAMU,87,OI
3248,USEEOC,1,OI
3236,TexasStandard,1,OI
3233,TLSC,1,OI
3230,TexasLawbook,1,OI
3203,VERDUNITY,1,OI
3173,CBLDF,1,OI
3123,AIAYAF,1,OI
3030,NCARB,1,OI
3029,BSAAIA,1,OI
2996,CockrellSchool,1,OI
2995,EA,1,OI
2962,NIEHS,1,OI
2928,TexasVeterans,1,OI
2793,TEDMED,1,OI
2246,WNYC,1,OI
2774,KCBIEHLER,1,OI
2760,BUSPH,1,OI
317,TexasVMF,9,OI
598,NCAACWS,4,OI
2838,FAO,1,OI
257,AAVMC,12,OI
843,CNN,2,OI
728,ORNL,3,OI
640,UPS,3,OI
839,SNGSOCI,2,OI
636,NASA,3,OI
626,SARCBV,3,OI
654,humanitiestexas,3,OI
666,PGATOUR,3,OI
706,TexasExes,3,OI
748,WCAMC,3,OI
774,blkingradschool,3,OI
820,ESPNCFB,3,OI
1005,TexasWesleyan,2,OI
826,IowaLawSchool,2,OI
1610,WTBSU,1,OI
1611,NAACP,1,OI
1621,UTSACOEHD,1,OI
1641,AACR,1,OI
1646,CSISD,1,OI
1674,NALEO,1,OI
1730,NWEA,1,OI
1782,SCBRINKLEY,1,OI
2197,texasgov,1,OI
1835,utexascoe,1,OI
270,LNLawSchool,11,OI
1932,TAHC,1,OI
832,southtexasisdhp,2,OI
876,LawSchoolTools,2,OI
1726,texasrsa,1,OI
910,NBA,2,OI
226,CPRITTexas,13,OI
890,TexasFilmComm,2,OI
224,statebaroftexas,14,OI
209,TexasDeptofAg,15,OI
187,NFL,17,OI
252,NCICRCHD,12,OI
180,NPHW,18,OI
138,TexasTribune,27,OI
114,BushSchool,34,OI
74,TDEM,60,OI
1247,TexasBowl,2,OI
50,SEC,82,OI
565,TracesofTexas,4,OI
197,KAMUTVFM,15,OI
603,HOARLLC,4,OI
247,RYHTexas,12,OI
968,vetschoolOH,2,OI
1008,USGBC,2,OI
1091,GMA,2,OI
1182,BushSchoolDC,2,OI
994,GenslerTexas,2,OI
606,NBCDFW,4,OI
865,WSJ,2,OI
1244,HACUDC,2,OI
1192,TexasFootball,2,OI
956,SWVS,2,OI
1214,TexasDFPS,2,OI
916,NIH,2,OI
2801,claramartel99,1,P
2802,britneypearson_,1,P
2806,hlth_4_all,1,P
2794,800273TALK,1,P
2811,Greyman_10,1,P
2813,kcolemom7,1,P
3228,Oregon_Law,1,P
3226,Lauterpacht_Ctr,1,P
3244,kit_johnson,1,P
2807,krista0955,1,P
3044,CMS_SRogers,1,P
2918,Construct_BP,1,P
3022,daniel_howarth,1,P
3036,ZHA_News,1,P
2756,CHI_Updates,1,P
2753,Immunize_USA,1,P
2752,LEAD_Coalition,1,P
3231,Prof_Farley,1,P
2866,FairWarning88,1,P
2792,MaggyTovar1,1,P
2869,laurenolivia_18,1,P
2913,austin360,1,P
2788,elena_andreyeva,1,P
1994,MichaelaRose98,1,P
2784,HHS_ORI,1,P
2137,LindseyHaley2,1,P
2872,T_rent116,1,P
2064,CMac217,1,P
2061,Texas_Pictures,1,P
2060,ToriAbner_,1,P
1978,treygroce2019,1,P
1982,Kayla_godwin,1,P
1985,LEMiller16,1,P
1987,DJRoche89,1,P
1988,schmidty_10,1,P
2785,BBC_Worklife,1,P
1989,Ted_Vierling,1,P
1999,tobyrocks3,1,P
3211,TXLaw360,1,P
2865,elainamarie2016,1,P
3206,SDaviesNBC5,1,P
2759,Systems4Action,1,P
2765,Katy_Phelps,1,P
2767,OBrien_IPH,1,P
2773,ACHI_Net,1,P
2779,BMC_series,1,P
2783,apraw_9,1,P
1992,cam_fuller,1,P
3199,cmfoodietruck1,1,P
1196,_vgarza,2,P
2878,R_RAW_SON,1,P
1197,eruss616,2,P
1201,MarcusBurris8,2,P
1202,blakesmith_11,2,P
1138,BTU_BryanTX,2,P
1135,dena_betts,2,P
1133,trisaratops21,2,P
1132,its_just_jacey,2,P
1040,reedme22,2,P
1041,jada_rai,2,P
1042,lejeune_lindsey,2,P
1189,TES_Spring,2,P
1045,TimEaton30,2,P
1050,Kerika_Green,2,P
1053,jane_mcook,2,P
1054,tylar_ransom,2,P
1059,celissa_11,2,P
1069,DillTrill_,2,P
1074,k12cto,2,P
1077,Luxurious_Lys,2,P
1078,mo_elizabeth_,2,P
1035,nihal_salem,2,P
2208,211TexasBV,1,P
1047,dinamichelle08,2,P
2875,juliagrace15,1,P
1188,rara04,2,P
3253,antonia_okafor,1,P
2880,awalker2004,1,P
2884,KBryson09,1,P
2885,LeslieFan_1,1,P
2888,Br_Knapp,1,P
3192,KaceyonFox7,1,P
2894,FAST_Ags,1,P
3049,TA_LifeHealth,1,P
2895,AMCP_Awards,1,P
2898,defense_news,1,P
2900,JacksonLeeTX18,1,P
2607,seranlucas1,1,P
2901,WT_CONHS,1,P
2903,Travis_L_Brown,1,P
3224,JEP_Chicago,1,P
2814,cindynemeth1,1,P
2722,_bonbon25,1,P
2733,hannah_murrow,1,P
2736,kaily_alex,1,P
2737,mmiller20910,1,P
2748,CBHEC_TAMHSC,1,P
3189,K9s4KIDS,1,P
2124,AHS_Think12,1,P
2833,NIH_ORWH,1,P
2207,agec_honors,1,P
2570,beng_320,1,P
2202,NEH_ODH,1,P
2519,kaylee__trotter,1,P
2520,hanandez07,1,P
2477,HighOnKayla_,1,P
2474,eab98_,1,P
2524,Courtney_EPrice,1,P
2528,tengland_150,1,P
2540,scientia_social,1,P
2541,emilym_1530,1,P
2543,hayley_lago,1,P
2545,sharpshooter_jv,1,P
2515,samilam4239,1,P
2548,cesart1198,1,P
2552,mikeforman21,1,P
2553,heylayy_,1,P
2561,zachydg_,1,P
2562,shreyarao_,1,P
2564,umm_im_paolaa,1,P
1079,Caron74B,2,P
3144,FrankHarber1,1,P
2571,emely_gz,1,P
2573,Hon3s_t,1,P
2575,alex_daleks,1,P
2551,TAMHN_HC,1,P
2576,EmilyNewby5,1,P
3262,pink_lady56,1,P
2513,hadhad20,1,P
2535,megan_money_mvs,1,P
2537,m_mariam26,1,P
2539,sk291439,1,P
2482,cvz_james,1,P
2483,RebekahJ85,1,P
2485,dk_prabhu,1,P
2112,ncats_nih_gov,1,P
2488,A__Mercado,1,P
2489,jalvarez14_,1,P
2491,11KChuwen,1,P
2514,12thManCreative,1,P
2492,guavacity_,1,P
2494,1dfanlilmamas,1,P
2495,wade_penn,1,P
2496,marirules1,1,P
2498,BobGrant21,1,P
2500,CaitlynMuck37,1,P
2501,NEH_Education,1,P
2503,isaiahsategna1,1,P
2508,eileen_lynch123,1,P
2511,The713sniper,1,P
2512,_raeganmiller,1,P
2493,helen_vas18,1,P
2206,simongerman600,1,P
2577,BryanHurtado34,1,P
2583,yaaasmine___,1,P
2464,tim_oconnor1999,1,P
2557,emilyguzman30,1,P
2472,LandonHolcomb2,1,P
2842,nih_nhlbi,1,P
2847,heart_south,1,P
2850,TAMHSC_IBT,1,P
2855,dr_sheffield,1,P
2859,DAREnet_EU,1,P
2862,drjaymad1,1,P
2003,ashton_hilsy,1,P
2219,NHM_Digitise,1,P
3221,JD_COT,1,P
1995,rwhitlock3,1,P
2136,we_are_JQ,1,P
2141,MrsWelch18,1,P
2151,je_light,1,P
2167,Matthew_Masek,1,P
2175,Citizen_Corps,1,P
2176,femaregion7,1,P
2178,ericmiguel45,1,P
2182,jk_rowling,1,P
2191,nature_org,1,P
2000,TheSpicyGinger_,1,P
2578,ibarrahugo77,1,P
2054,CRioux93,1,P
2037,THI_SCCResearch,1,P
2584,Marcologist44,1,P
2589,Cameron__Champ,1,P
2593,research_sis,1,P
2595,wendytgw7,1,P
2529,elisabeththarp1,1,P
2596,emilyc1397,1,P
2572,soy__nando,1,P
2526,oh_homiee,1,P
3062,syllabus_tweets,1,P
3048,twas4kids,1,P
2038,annelizzz_,1,P
2007,_The_silencer_,1,P
2010,__melisssaaaa,1,P
2011,ashley__franco,1,P
2012,zehrudina11,1,P
2015,xmichelle718,1,P
2018,jessica_0188,1,P
2020,AngelaRost17,1,P
2021,Britt__Renee,1,P
2025,cheeringuy100,1,P
3265,IEL_CAIL,1,P
2036,Texas_Heart,1,P
2009,mrudula_movva,1,P
1186,Finiti_Roy,2,P
423,AACN_GNSA,6,P
1181,MSC_FLC,2,P
2696,Seb_Falk,1,P
2698,MadelineMJ11,1,P
2699,yasmineacosta12,1,P
3256,EEOC_OFO,1,P
2700,_aileen_xx_,1,P
2703,alehus_,1,P
2704,cameo_epoh,1,P
2705,hectornino_,1,P
2707,dhudd12,1,P
2709,vanessa_paolaa,1,P
2694,shannon_hauck,1,P
2711,heidiiiii___,1,P
2714,jasminee05_,1,P
2716,taylor_the_riot,1,P
2654,marissanavarro_,1,P
2655,Robster_17,1,P
2659,SaraCoats_,1,P
1029,paofdez11071,2,P
911,Marc_A_Ramos,2,P
907,mike_bing,2,P
906,Kidz1stFund,2,P
901,MSC_ALOT,2,P
2712,mikami_boss,1,P
791,__dianita___,3,P
2692,victoriaaaa_rdz,1,P
2687,NASA_Technology,1,P
2630,JimNagy_SB,1,P
2631,leray_havard,1,P
2632,Binxsss_,1,P
2633,marielatrev_,1,P
2635,tymad7,1,P
2636,tylerward12345,1,P
2637,drewromero_42,1,P
2638,GermainX1,1,P
2640,OM_Choosewisely,1,P
2642,itsmelissakay_,1,P
2691,phernz5,1,P
2598,HaoHuang2020,1,P
2669,katyforrest23,1,P
2715,kathrina_____,1,P
2671,tyger16005,1,P
2672,deme_garcia99,1,P
2673,bobby__chambers,1,P
2675,malick_S17,1,P
2676,Donovangreen23,1,P
2681,xav_walk,1,P
2685,jahmirjohnson34,1,P
2686,Hunter_Erb66,1,P
2648,PVAMU_Media,1,P
2629,Pastor_Shorter,1,P
794,maxwright2k18,3,P
797,CDC_Cancer,3,P
927,BrianCurtisNBC5,2,P
930,tolga_k,2,P
935,devin__jiang,2,P
951,burgoon96,2,P
952,hey_ciara,2,P
953,KaitlynMcC22,2,P
870,ARCHI_Texas,2,P
958,ARC_Committee,2,P
964,kimbchi19,2,P
972,joshua_rohloff,2,P
919,Boehringer_AH,2,P
974,Cline_alderete,2,P
978,Esirius2014,2,P
981,_jules2020,2,P
983,WAAVP_2019,2,P
986,Almost_Academic,2,P
998,federico_palomo,2,P
1007,US_FDA,2,P
1014,Cooper__Elliott,2,P
1016,seigga1999,2,P
963,jac201315,2,P
2486,girouard_dana,1,P
977,Sam_Peshek,2,P
796,mjmiller8804,3,P
917,Astro_Eustice,2,P
1491,jomoody23,1,P
804,n_latham84,3,P
806,Scott_Spaulding,3,P
818,Dr_ALayton,3,P
821,Lauren_Imbriano,3,P
822,rwrichter20,3,P
824,AIA_AAH,3,P
825,LilyMunster08,2,P
827,weston_cindy,2,P
834,twdb_kathleen,2,P
1031,code_cherry,2,P
1822,TH3BlackGoddess,1,P
840,EJW_org,2,P
846,Pluugs26,2,P
853,Proof_Alliance,2,P
855,chappell_tyreek,2,P
859,futuro_drvicks,2,P
1027,epi_kaur,2,P
1023,catharper11,2,P
1021,EmmittSmith22,2,P
1018,whitneywags_,2,P
2664,JPMendez76,1,P
2710,princess_imann,1,P
845,webmz_,2,P
1083,SAGE_Methods,2,P
2628,josemoralesv_,1,P
2624,hvnnvh___,1,P
1177,perkinswill_HOU,2,P
1085,Jumpboyyul1,2,P
1087,Texas_LRE,2,P
1089,Action_Ball,2,P
432,CourtneyCW39,5,P
434,StJoseph_Health,5,P
440,gradt1216,5,P
444,KRIS6News,5,P
446,Wydermyer81,5,P
449,AAAconference19,5,P
1171,caraann0225,2,P
451,Veritas_DVM,5,P
463,ANHayden1997,5,P
471,KaciSeegars2,5,P
363,Bush41Library,7,P
349,BucketsAll_Day,8,P
347,JManziel2,8,P
